Store Name,Category,Domain,Store MCP Endpoint
Allbirds,Sneakers,allbirds.com,https://allbirds.myshopify.com/api/mcp
Filling Pieces,Sneakers,fillingpieces.com,https://fillingpieces.myshopify.com/api/mcp
Frankie4,Sneakers,frankie4.com.au,https://frankie4.myshopify.com/api/mcp
Freda Salvador,Sneakers,fredasalvador.com,https://fredasalvador.myshopify.com/api/mcp
Greats,Sneakers,greats.com,https://greats.myshopify.com/api/mcp
Morjas,Sneakers,morjas.com,https://morjas.myshopify.com/api/mcp
Nisolo,Sneakers,nisolo.com,https://nisolo.myshopify.com/api/mcp
Public Rec,Sneakers,publicrec.com,https://publicrec.myshopify.com/api/mcp
Suavs,Sneakers,suavs.com,https://suavs.myshopify.com/api/mcp
Thousand Fell,Sneakers,thousandfell.com,https://thousandfell.myshopify.com/api/mcp
Tropicfeel,Sneakers,tropicfeel.com,https://tropicfeel.myshopify.com/api/mcp
Unseen Footwear,Sneakers,unseenfootwear.com,https://unseenfootwear.myshopify.com/api/mcp
BioLite,Outdoor,bioliteenergy.com,https://bioliteenergy.myshopify.com/api/mcp
Cotopaxi,Outdoor,cotopaxi.com,https://cotopaxi.myshopify.com/api/mcp
Flylow,Outdoor,flylowgear.com,https://flylowgear.myshopify.com/api/mcp
Matador,Outdoor,matadorup.com,https://matadorup.myshopify.com/api/mcp
Nemo Equipment,Outdoor,nemoequipment.com,https://nemoequipment.myshopify.com/api/mcp
Parks Project,Outdoor,parksproject.us,https://parksproject.myshopify.com/api/mcp
Toad and Co,Outdoor,toadandco.com,https://toadandco.myshopify.com/api/mcp
Topo Designs,Outdoor,topodesigns.com,https://topodesigns.myshopify.com/api/mcp
Voormi,Outdoor,voormi.com,https://voormi.myshopify.com/api/mcp
Zpacks,Outdoor,zpacks.com,https://zpacks.myshopify.com/api/mcp
Apres Velo,Cycling,apresvelo.com,https://apresvelo.myshopify.com/api/mcp
Cafe du Cycliste,Cycling,cafeducycliste.com,https://cafeducycliste.myshopify.com/api/mcp
Capo Cycling,Cycling,capocycling.com,https://capocycling.myshopify.com/api/mcp
DeFeet,Cycling,defeet.com,https://defeet.myshopify.com/api/mcp
Isadore,Cycling,isadore.com,https://isadore.myshopify.com/api/mcp
Le Col,Cycling,lecol.cc,https://lecol.myshopify.com/api/mcp
Pas Normal Studios,Cycling,pasnormalstudios.com,https://pasnormalstudios.myshopify.com/api/mcp
Pearl Izumi,Cycling,pearlizumi.com,https://pearlizumi.myshopify.com/api/mcp
Pedal Mafia,Cycling,pedalmafia.com,https://pedalmafia.myshopify.com/api/mcp
Swiftwick,Cycling,swiftwick.com,https://swiftwick.myshopify.com/api/mcp
Bark Avenue,Pet,barkavenue.com,https://barkavenue.myshopify.com/api/mcp
Bowl and Bone,Pet,bowlandbone.com,https://bowlandbone.myshopify.com/api/mcp
Found My Animal,Pet,foundmyanimal.com,https://foundmyanimal.myshopify.com/api/mcp
Harry Barker,Pet,harrybarker.com,https://harrybarker.myshopify.com/api/mcp
Heads Up For Tails,Pet,headsupfortails.com,https://headsupfortails.myshopify.com/api/mcp
Max-Bone,Pet,max-bone.com,https://max-bone.myshopify.com/api/mcp
Ruffwear,Pet,ruffwear.com,https://ruffwear.myshopify.com/api/mcp
The Farmer's Dog,Pet,thefarmersdog.com,https://thefarmersdog.myshopify.com/api/mcp
West Paw,Pet,westpaw.com,https://westpaw.myshopify.com/api/mcp
